snapshot_date,id,name,year,artists,categories,designers,expansion,expands,expansions,families,implementations,max_players,mechanics,min_age,min_players,playing_time,publishers,ranks,rating_average,rating_average_weight,rating_bayes_average,rating_median,rating_num_weights,rating_stddev,users_commented,users_owned,users_rated,users_trading,users_wanting,users_wishing
2018-04-28,155463,DC Comics Deck-Building Game: Forever Evil,2014,,Card Game | Comic Book / Strip,Matt Hyra,False,[],"[Thing (id: 155428), Thing (id: 171033), Thing (id: 191198), Thing (id: 246537), Thing (id: 167762), Thing (id: 169642), Thing (id: 174551), Thing (id: 175465), Thing (id: 194542), Thing (id: 194543), Thing (id: 239106), Thing (id: 202235), Thing (id: 179034), Thing (id: 234851), Thing (id: 220925)]",Admin: Better Description Needed! | Cerberus Engine: Heroes | Comics: DC Universe | Superheroes,,5,Deck / Pool Building,0,2,75,Cryptozoic Entertainment,"[Thing (id: 1), Thing (id: 5496)]",7.27358,2.4722,6.18816,0.0,36,1.51083,,2168,779,33,,
2018-04-28,35572,Strozzi,2008,Ryan Laukat | Franz Vohwinkel,Nautical | Renaissance,Reiner Knizia,False,[],[],Cities: Florence | Country: Italy | Knizia Florentine auction games,,6,Commodity Speculation | Set Collection,10,3,60,ABACUSSPIELE | Rio Grande Games,"[Thing (id: 1), Thing (id: 5497)]",6.74617,2.2404,6.11541,0.0,104,1.10805,,1496,1066,115,,
2018-04-28,169704,Vault Wars,2015,Jacqui Davis | Kelly McClellan | Peter Wocken,Bluffing | Card Game | Deduction | Fantasy,Jonathan Gilmour | Ben Harkins,False,[],"[Thing (id: 174555), Thing (id: 217759), Thing (id: 183516), Thing (id: 217142), Thing (id: 174554), Thing (id: 183517), Thing (id: 183515), Thing (id: 183520)]",Crowdfunding: Kickstarter,,5,Auction/Bidding | Card Drafting | Set Collection,13,3,60,Floodgate Games,"[Thing (id: 1), Thing (id: 5497)]",6.95807,2.1081,6.12148,0.0,37,1.20714,,1684,870,92,,
2018-04-28,95105,1st & Goal,2011,Scott Fleenor | Matthan Heiselt | Jennifer Vargas,Card Game | Dice | Sports,Stephen Glenn,False,[],"[Thing (id: 131388), Thing (id: 114248), Thing (id: 114250), Thing (id: 114249), Thing (id: 114252), Thing (id: 114251), Thing (id: 114253)]",Sports: American Football / Gridiron,,4,Dice Rolling | Simultaneous Action Selection,13,2,150,R&R Games,"[Thing (id: 1), Thing (id: 5496), Thing (id: 5499)]",6.62658,1.8265,6.11314,0.0,98,1.34877,,2135,1331,140,,
2018-04-28,140125,Fallen,2014,Edward Boberg | Jeff Brown (II) | Simon Buckroyd | Joshua Calloway | CubeArt | Giorgio De Michele | Tugsbayar Jamts | Michael Mowat | Zagladko Sergei Petrovich,Card Game | Dice | Exploration | Fantasy,"Tom W. Green, III | Stephen C. Smith",False,[],"[Thing (id: 173256), Thing (id: 174393), Thing (id: 173258), Thing (id: 174392), Thing (id: 174391), Thing (id: 173255), Thing (id: 173257)]",Crowdfunding: Kickstarter,,2,Dice Rolling | Hand Management | Storytelling,14,2,90,Watchtower Games,"[Thing (id: 1), Thing (id: 5496)]",8.08225,3.0526,6.09392,0.0,57,1.48505,,806,440,37,,
2018-04-28,23686,GiftTRAP,2006,Scott E. Davis,Humor | Party Game,Nick Kellet,False,[],[Thing (id: 60256)],GiftTRAP,,8,Simultaneous Action Selection | Voting,8,3,60,"Arclight | Ferti | GiftTRAP Enterprises | Heidelberger Spieleverlag | Kaissa Chess & Games | Lautapelit.fi | Lifestyle Boardgames Ltd | Morapiaf | Swan Panasia Co., Ltd.","[Thing (id: 1), Thing (id: 5498)]",6.43845,1.2511,6.10785,0.0,227,1.45823,,2781,2283,156,,
2018-04-28,18985,Battleground,2005,"Calum Andrews | Kaile Dutton | Richard Kitner, Jr. | Jackie Lee | David Lloyd (II) | Jordan Speer | Robert Westmore",Ancient | Card Game | Fantasy | Fighting | Wargame,Robert Dougherty | Chad Ellis | Darwin Kastle,False,[],"[Thing (id: 42127), Thing (id: 37638)]",Ancient Rome | Battleground Fantasy Warfare,,2,Action Point Allowance System | Dice Rolling,12,2,60,Your Move Games,"[Thing (id: 1), Thing (id: 4664)]",6.95503,2.8362,6.10034,0.0,177,1.5825,,1566,891,115,,
2018-04-28,203780,Power Grid: The Card Game,2016,Harald Lieske,Card Game | Economic | Industry / Manufacturing,Friedemann Friese,False,[],[],Power Grid,,6,Auction/Bidding,12,2,60,"2F-Spiele | 999 Games | Arclight | Edge Entertainment | Lautapelit.fi | Rio Grande Games | Swan Panasia Co., Ltd.",[Thing (id: 1)],6.92918,2.3333,6.1966,0.0,21,1.19415,,2533,1057,94,,
2018-04-28,154003,Pagoda,2014,Arve D. Fühler,Ancient,Arve D. Fühler,False,[],[],3D Games,,2,Hand Management,8,2,45,"Pegasus Spiele | Alderac Entertainment Group | Matagot | Surfin' Meeple China | Swan Panasia Co., Ltd. | White Goblin Games","[Thing (id: 1), Thing (id: 5499)]",6.72793,1.8868,6.1339,0.0,53,1.14336,,2119,1163,100,,
2018-04-28,35505,Walk the Plank!,2013,Felideus Bubastis | Mike Groves,Card Game | Humor | Pirates,Shane Steely | Jared Tinney,False,[],"[Thing (id: 132118), Thing (id: 132117), Thing (id: 141976)]",Crowdfunding: Kickstarter | Get Bit Trilogy,Walk the Plank: Deluxe Edition | Walk The Plank: Limited Edition,5,Action / Movement Programming | Player Elimination | Simultaneous Action Selection | Take That,6,3,20,Mayday Games,"[Thing (id: 1), Thing (id: 5499)]",6.63365,1.25,6.12521,0.0,80,1.24138,,2545,1483,103,,
2018-04-28,37400,Sushizock im Gockelwok,2008,Doris Matthäus,Dice,Reiner Knizia,False,[],[],The Chicken Family of Zoch | Food / Cooking,POW!,5,Dice Rolling | Memory | Press Your Luck | Set Collection,8,2,20,999 Games | Gigamic | Giochi Uniti | Zoch Verlag,"[Thing (id: 1), Thing (id: 5499)]",6.48061,1.244,6.12143,0.0,209,1.12784,,2479,1976,51,,
2018-04-28,162009,The U.S. Civil War,2015,Rodger B. MacGowan | Mark Simonitch | Thure de Thulstrup,American Civil War | Wargame,Mark Simonitch,False,[],[],,,2,Dice Rolling | Hex-and-Counter | Simulation,0,2,360,GMT Games,"[Thing (id: 1), Thing (id: 4664)]",8.32275,3.7551,6.16941,0.0,49,1.44378,,1585,404,37,,
